timestamp,battery_value,tensao,corrente
2025-06-13 20:11:25,99,3969,6
2025-06-13 20:11:51,99,3969,6
2025-06-13 20:12:17,99,3969,6
2025-06-13 20:12:44,99,3969,6
2025-06-13 20:13:10,99,3969,6
2025-06-13 20:13:36,99,3968,6
2025-06-13 20:14:02,99,3968,6
2025-06-13 20:14:29,99,3967,6
2025-06-13 20:14:55,99,3967,6
2025-06-13 20:15:21,99,3966,6
2025-06-13 20:15:47,99,3966,6
2025-06-13 20:16:13,99,3966,6
2025-06-13 20:16:40,99,3966,6
2025-06-13 20:17:06,99,3966,6
2025-06-13 20:17:32,99,3965,6
2025-06-13 20:17:58,99,3965,6
2025-06-13 20:18:24,99,3964,6
2025-06-13 20:18:51,99,3964,6
2025-06-13 20:19:17,99,3963,6
2025-06-13 20:19:43,99,3963,6
2025-06-13 20:20:09,99,3962,6
2025-06-13 20:20:35,99,3962,6
2025-06-13 20:21:02,99,3962,6
2025-06-13 20:21:28,99,3962,6
2025-06-13 20:21:54,99,3962,6
2025-06-13 20:22:20,99,3961,6
2025-06-13 20:22:46,99,3961,6
2025-06-13 20:23:13,99,3960,6
2025-06-13 20:23:39,99,3960,6
2025-06-13 20:24:05,99,3959,6
2025-06-13 20:24:31,99,3959,6
2025-06-13 20:24:58,99,3959,6
2025-06-13 20:25:24,99,3959,6
2025-06-13 20:25:50,99,3959,6
2025-06-13 20:26:16,99,3958,6
2025-06-13 20:26:43,99,3958,6
2025-06-13 20:27:09,99,3957,6
2025-06-13 20:27:35,99,3957,6
2025-06-13 20:28:01,99,3956,6
2025-06-13 20:28:27,99,3956,6
2025-06-13 20:28:54,99,3955,6
2025-06-13 20:29:20,99,3955,6
2025-06-13 20:29:46,99,3954,6
2025-06-13 20:30:12,99,3954,6
2025-06-13 20:30:39,99,3954,6
2025-06-13 20:31:05,99,3954,6
2025-06-13 20:31:31,99,3954,6
2025-06-13 20:31:57,99,3953,6
2025-06-13 20:32:23,99,3953,6
2025-06-13 20:32:50,99,3952,6
2025-06-13 20:33:16,99,3952,6
2025-06-13 20:33:42,99,3951,6
2025-06-13 20:34:08,99,3951,6
2025-06-13 20:34:35,99,3951,6
2025-06-13 20:35:01,99,3951,6
2025-06-13 20:35:27,99,3951,6
2025-06-13 20:35:53,99,3950,6
2025-06-13 20:36:19,99,3950,6
2025-06-13 20:36:46,99,3949,6
2025-06-13 20:37:12,99,3949,6
2025-06-13 20:37:38,99,3948,6
2025-06-13 20:38:04,99,3948,6
2025-06-13 20:38:31,99,3947,6
2025-06-13 20:38:57,99,3947,6
2025-06-13 20:39:23,99,3947,6
2025-06-13 20:39:49,99,3947,6
2025-06-13 20:40:15,99,3947,6
2025-06-13 20:40:42,99,3946,6
2025-06-13 20:41:08,99,3946,6
2025-06-13 20:41:34,99,3945,6
2025-06-13 20:42:00,99,3945,6
2025-06-13 20:42:26,99,3944,6
2025-06-13 20:42:53,99,3944,6
2025-06-13 20:43:19,99,3943,6
2025-06-13 20:43:45,99,3943,6
2025-06-13 20:44:11,99,3943,6
2025-06-13 20:44:38,99,3943,6
2025-06-13 20:45:04,99,3943,6
2025-06-13 20:45:30,99,3942,6
2025-06-13 20:45:56,99,3942,6
2025-06-13 20:46:23,99,3941,6
2025-06-13 20:46:49,99,3941,6
2025-06-13 20:47:15,99,3940,6
2025-06-13 20:47:41,99,3940,6
2025-06-13 20:48:08,99,3939,6
2025-06-13 20:48:34,99,3939,6
2025-06-13 20:49:00,99,3939,6
2025-06-13 20:49:26,99,3939,6
2025-06-13 20:49:52,99,3939,6
2025-06-13 20:50:19,99,3938,6
2025-06-13 20:50:45,99,3938,6
2025-06-13 20:51:11,99,3937,6
2025-06-13 20:51:37,99,3937,6
2025-06-13 20:52:03,99,3936,6
2025-06-13 20:52:30,99,3936,6
2025-06-13 20:52:56,99,3935,6
2025-06-13 20:53:22,99,3935,6
2025-06-13 20:53:48,99,3935,6
2025-06-13 20:54:15,99,3935,6
2025-06-13 20:54:41,99,3935,6
2025-06-13 20:55:07,99,3934,6
2025-06-13 20:55:33,99,3934,6
2025-06-13 20:55:59,99,3933,6
